Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
"Nowoczesne, 3 pokojowe mieszkanie, Osiedle Leśne",555000.0,"ul. Powstańców Warszawy, Leśne, Bydgoszcz, kujawsko-pomorskie",62.52,3 ,2/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-osiedle-lesne-ID4nWls,Kujawsko-pomorskie,Bydgoszcz
"3 pokoje Apartament Ursynów, ul. Polki 1",999999.0,"Pyry, Ursynów, Warszawa, mazowieckie",63.95,3 ,1/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-apartament-ursynow-ul-polki-1-ID4nLYC,Mazowieckie,Warszawa
"Bezpośrednio 2 pokoje 37,8m2 Ursus, ul. Keniga",522000.0,"Niedźwiadek, Ursus, Warszawa, mazowieckie",37.8,2 ,parter/4,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-37-8m2-ursus-ul-keniga-ID4nWlr,Mazowieckie,Warszawa
"2 pokoje, Umk, blok, balkon",299000.0,"Bydgoskie Przedmieście, Toruń, kujawsko-pomorskie",38.0,2 ,4,,,,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-umk-blok-balkon-ID4ncKZ,Kujawsko-pomorskie,Toruń
"61m2- loggia,łazienka i kuchnia po remoncie-3 pok",489000.0,"Rubinkowo, Toruń, kujawsko-pomorskie",60.8,3 ,10/11,,,,balkon,https://www.otodom.pl/pl/oferta/61m2-loggia-lazienka-i-kuchnia-po-remoncie-3-pok-ID4nyqy,Kujawsko-pomorskie,Toruń
Świetna Lokalizacja -Koniuchy 3 Rozkładowe Pokoje,359000.0,"Koniuchy, Toruń, kujawsko-pomorskie",48.0,3 ,3/4,,,,balkon,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-koniuchy-3-rozkladowe-pokoje-ID4laRX,Kujawsko-pomorskie,Toruń
Mokre - Dwa Pokoje Tylko U Nas,285000.0,"Mokre, Toruń, kujawsko-pomorskie",37.5,2 ,2/11,do remontu,,,balkon,https://www.otodom.pl/pl/oferta/mokre-dwa-pokoje-tylko-u-nas-ID4nPx6,Kujawsko-pomorskie,Toruń
Mokre- 2 pokoje- dobra cena,320000.0,"Mokre, Toruń, kujawsko-pomorskie",39.4,2 ,7/10,,,,,https://www.otodom.pl/pl/oferta/mokre-2-pokoje-dobra-cena-ID4nQdt,Kujawsko-pomorskie,Toruń
Mieszkanie Rubinkowo trzy pokoje,379000.0,"Stare Miasto, Toruń, kujawsko-pomorskie",61.0,3 ,3/11,,,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-rubinkowo-trzy-pokoje-ID4nSAt,Kujawsko-pomorskie,Toruń
Penthouse przy samej wodzie na dolinie 3 stawów,2923000.0,"ul. gen. Władysława Sikorskiego 41, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",121.8,3 ,8/8,do wykończenia,gazowe,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/penthouse-przy-samej-wodzie-na-dolinie-3-stawow-ID4nO3o,Śląskie,Katowice
Ładne mieszkanie dwupoziomowe,409000.0,"ul. Juliusza Słowackiego, Lębork, lęborski, pomorskie",80.0,3 ,3/3,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/ladne-mieszkanie-dwupoziomowe-ID4nWlj,Pomorskie,lęborski
Mieszkanie  A.Cieszkowskiego 2 piętro 120 m2,650000.0,"ul. Augusta Cieszkowskiego, Śródmieście, Bydgoszcz, kujawsko-pomorskie",119.86,5 ,2/3,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-a-cieszkowskiego-2-pietro-120-m2-ID4nWli,Kujawsko-pomorskie,Bydgoszcz
"Osiedle Wilno, mieszkanie 65 m2, 3-pokojowe",900000.0,"ul. Montwiłłowska 4, Elsnerów, Targówek, Warszawa, mazowieckie",64.64,3 ,2/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/osiedle-wilno-mieszkanie-65-m2-3-pokojowe-ID4nx0O,Mazowieckie,Warszawa
"Mieszkanie, 28,12 m², Warszawa",560000.0,"ul. Karola Dickensa, Szczęśliwice, Ochota, Warszawa, mazowieckie",28.12,1 ,2/7,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-28-12-m-warszawa-ID4nWlh,Mazowieckie,Warszawa
3-pokojowe z balkonem - Grabiszyn,649000.0,"ul. Jemiołowa, Gajowice, Fabryczna, Wrocław, dolnośląskie",63.0,3 ,,do remontu,,,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-grabiszyn-ID4nWlg,Dolnośląskie,Wrocław
Sprzedam nowe mieszkanie Pruszcz Gd,629000.0,"ul. Jana z Kolna, Pruszcz Gdański, gdański, pomorskie",65.86,3 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/sprzedam-nowe-mieszkanie-pruszcz-gd-ID4nJcI,Pomorskie,gdański
Gotowe! klimatyczna antresola!,965760.0,"ul. Tadeusza Mikke, Strzeszyn, Jeżyce, Poznań, wielkopolskie",100.6,5 ,3/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gotowe-klimatyczna-antresola-ID4nWlf,Wielkopolskie,Poznań
1-pokojowy lokal inwestycyjny 17m2 Bez Pośredników,,"ul. Aleje Jerozolimskie, Reguły, Michałowice, pruszkowski, mazowieckie",17.67,1 ,1/2,do wykończenia,,,,https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-17m2-bez-posrednikow-ID4nWlc,Mazowieckie,pruszkowski
Nowe_3 pokoje z balkonem przy stacji PKP/Galerii,542962.0,"Pruszków, pruszkowski, mazowieckie",52.46,3 ,,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-z-balkonem-przy-stacji-pkp-galerii-ID48HJq,Mazowieckie,pruszkowski
Na Rojcy,289001.0,"Radzionków, tarnogórski, śląskie",44.78,3 ,2/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/na-rojcy-ID4nP77,Śląskie,tarnogórski
"3-pokojowe na spokojnym osiedlu, do zamieszkania",350000.0,"ul. Kalinowa, Zaborze Północ, Zabrze, śląskie",60.0,3 ,4/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-na-spokojnym-osiedlu-do-zamieszkania-ID4nLbv,Śląskie,Zabrze
Jasne i przestronne (50 m2) mieszkanie do remontu,213000.0,"ul. Szpitalna, Pyskowice, gliwicki, śląskie",50.0,2 ,3/3,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/jasne-i-przestronne-50-m2-mieszkanie-do-remontu-ID4mRFr,Śląskie,gliwicki
1-pokojowy lokal inwestycyjny 17m2 Bezpośrednio,,"ul. Aleje Jerozolimskie, Reguły, Michałowice, pruszkowski, mazowieckie",17.67,1 ,2/2,do wykończenia,,,,https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-17m2-bezposrednio-ID4nWl3,Mazowieckie,pruszkowski
"2 pokojowe, 46,74 m2, Osiedle Akademickie",646000.0,"Osiedle Akademickie, Czyżyny, Czyżyny, Kraków, małopolskie",46.74,2 ,3/3,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/2-pokojowe-46-74-m2-osiedle-akademickie-ID4nWkb,Małopolskie,Kraków
2pok SIM Karolewska super lokalizacja bezpośrednio,330000.0,"ul. Karolewska, Czyżkówko, Bydgoszcz, kujawsko-pomorskie",32.0,2 ,parter/3,do zamieszkania,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2pok-sim-karolewska-super-lokalizacja-bezposrednio-ID4kzYY,Kujawsko-pomorskie,Bydgoszcz
Mieszkanie po remoncie,365000.0,"ul. Niepodległości, Świdnik, świdnicki, lubelskie",52.2,2 ,3/3,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-ID4njOb,Lubelskie,świdnicki
Niespotykana Okazja! Kawalerka z Potencjałem,239000.0,"Radom, mazowieckie",32.9,1 ,4/4,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/niespotykana-okazja-kawalerka-z-potencjalem-ID4mNcd,Mazowieckie,Radom
1-pokojowy lokal inwestycyjny 17m2 Bez Prowizji,,"ul. Aleje Jerozolimskie, Reguły, Michałowice, pruszkowski, mazowieckie",17.67,1 ,parter/2,do wykończenia,,,,https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-17m2-bez-prowizji-ID4nWkn,Mazowieckie,pruszkowski
"ul. Piastowska - 74m2,Do zamieszkania, Lokalizacja",280000.0,"Stare Miasto, Kędzierzyn-Koźle, kędzierzyńsko-kozielski, opolskie",74.0,2 ,3/3,,,,,https://www.otodom.pl/pl/oferta/ul-piastowska-74m2-do-zamieszkania-lokalizacja-ID4nWk6,Opolskie,kędzierzyńsko-kozielski
"Nowe mieszkania - Osiedle Morelowa, budynek 1.",389160.0,"ul. Morelowa, Koszalin, zachodniopomorskie",43.24,2 ,1/2,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-mieszkania-osiedle-morelowa-budynek-1-ID4nWk3,Zachodniopomorskie,Koszalin
"Nowe mieszkania - Osiedle Morelowa, budynek 2.",315540.0,"ul. Morelowa, Koszalin, zachodniopomorskie",35.06,2 ,2/2,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-mieszkania-osiedle-morelowa-budynek-2-ID4nWk0,Zachodniopomorskie,Koszalin
"Nowe mieszkania - Osiedle Morelowa, budynek 1.",315540.0,"ul. Morelowa, Koszalin, zachodniopomorskie",35.06,2 ,1/2,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-mieszkania-osiedle-morelowa-budynek-1-ID4nWk2,Zachodniopomorskie,Koszalin
"Centrum, druga linia zabudowy, 2pok, 37m2, 245tys.",245000.0,"Nowe Miasto, Śródmieście, Szczecin, zachodniopomorskie",37.05,2 ,2/4,do zamieszkania,elektryczne,,,https://www.otodom.pl/pl/oferta/centrum-druga-linia-zabudowy-2pok-37m2-245tys-ID4ndLw,Zachodniopomorskie,Szczecin
IDEALNA INWESTYCJA - ZUPEŁNIE NOWY,881000.0,"Wiczlino, Gdynia, pomorskie",74.91,4 ,3/3,do zamieszkania,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/idealna-inwestycja-zupelnie-nowy-ID4neFa,Pomorskie,Gdynia
Wspaniała lokalizacja w sercu Ochoty-bezpośrednio!,636000.0,"ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie",37.0,2 ,2/14,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/wspaniala-lokalizacja-w-sercu-ochoty-bezposrednio-ID4nWjS,Mazowieckie,Warszawa
3-pokojowe mieszkanie 58m2 + 2 balkony,,"ul. Dolinna, Lublinek, Polesie, Łódź, łódzkie",58.53,3 ,2/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-2-balkony-ID4npPW,Łódzkie,Łódź
Mieszkanie - Sopot Dolny,1016000.0,"ul. Mieszka I I, Dolny Sopot - Grunwaldzka, Dolny Sopot, Sopot, pomorskie",48.41,2 ,1/2,do zamieszkania,miejskie,,"balkon, ogródek",https://www.otodom.pl/pl/oferta/mieszkanie-sopot-dolny-ID4nWjM,Pomorskie,Sopot
"Mieszkanie, 38,56 m², Warszawa",675000.0,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",38.56,2 ,3/10,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-38-56-m-warszawa-ID4nWjH,Mazowieckie,Warszawa
Mieszkanie w Centrum z Ogródkiem 100m2,350000.0,"Śródmieście, Gliwice, śląskie",60.0,3 ,parter,do wykończenia,miejskie,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-z-ogrodkiem-100m2-ID4nWjC,Śląskie,Gliwice
"Nowe mieszkanie, bliźniak,127 m2, garaż, ogródek",695000.0,"Stare Miasto, Stare Miasto, Wrocław, dolnośląskie",127.0,4 ,,do wykończenia,inne,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-blizniak-127-m2-garaz-ogrodek-ID4nWjA,Dolnośląskie,Wrocław
"Przestronne mieszkanie, 3 pok, Prądnik Biały!",899000.0,"os. Osiedle Wolfganga Amadeusa Mozarta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",83.74,3 ,3/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-3-pok-pradnik-bialy-ID4nWjz,Małopolskie,Kraków
Klimatyczny lokal w zrewitalizowanej kamienicy!,305000.0,"ul. Wólczańska, Centrum, Śródmieście, Łódź, łódzkie",25.0,1 ,4/4,,miejskie,,,https://www.otodom.pl/pl/oferta/klimatyczny-lokal-w-zrewitalizowanej-kamienicy-ID4nWjy,Łódzkie,Łódź
Mieszkanie 2-pokojowe 45 m2 Grunwaldzka,360000.0,"ul. Grunwaldzka, Okole, Bydgoszcz, kujawsko-pomorskie",45.0,2 ,2/3,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-45-m2-grunwaldzka-ID4nWjx,Kujawsko-pomorskie,Bydgoszcz
3 pokoje z klimatyzacją przy pl.Jana Pawła II,650000.0,"ul. Nabycińska, Szczepin, Stare Miasto, Wrocław, dolnośląskie",48.5,3 ,4/8,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-z-klimatyzacja-przy-pl-jana-pawla-ii-ID4nDlP,Dolnośląskie,Wrocław
4 pokoje w centrum Gryfic,439000.0,"Gryfice, Gryfice, gryficki, zachodniopomorskie",74.68,4 ,2/2,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/4-pokoje-w-centrum-gryfic-ID4lsBk,Zachodniopomorskie,gryficki
"5500zł Mieszkanie 3/4 pokojowe 61m2, balkon+ogódek",339295.0,"ul. Wierzbowa, Skarbimierz-Osiedle, Skarbimierz, brzeski, opolskie",61.69,3 ,1/1,do wykończenia,gazowe,,"balkon, ogródek",https://www.otodom.pl/pl/oferta/5500zl-mieszkanie-3-4-pokojowe-61m2-balkon-ogodek-ID4fB4H,Opolskie,brzeski
Mieszkanie 4 pokojowe,379000.0,"ul. Wolności, Słupsk, pomorskie",80.39,4 ,3/3,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-ID4nOWa,Pomorskie,Słupsk
Mieszkanie 96m2 bez czynszu Ogród Pompa Mońki,456000.0,"al. Wojska Polskiego, Mońki, Mońki, moniecki, podlaskie",96.0,4 ,,do wykończenia,gazowe,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/mieszkanie-96m2-bez-czynszu-ogrod-pompa-monki-ID4b1NX,Podlaskie,moniecki
Gotowe do wprowadzenia blisko jezioro i las.,355000.0,"Osiek nad Wisłą, Obrowo, toruński, kujawsko-pomorskie",53.0,3 ,2/2,do zamieszkania,inne,,ogródek,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-blisko-jezioro-i-las-ID4nltd,Kujawsko-pomorskie,toruński
Cała Kamienica na sprzedaż w Wągrowcu po remoncie,5990000.0,"ul. Kościuszki, Wągrowiec, wągrowiecki, wielkopolskie",1847.77,więcej niż 10,1/4,,,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/cala-kamienica-na-sprzedaz-w-wagrowcu-po-remoncie-ID4mRxO,Wielkopolskie,wągrowiecki
2 pokoje/rozkład/garderoba/inwestycja/bez prowizji,549000.0,"ul. Komuny Paryskiej, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",61.14,2 ,4/5,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/2-pokoje-rozklad-garderoba-inwestycja-bez-prowizji-ID4nWjq,Dolnośląskie,Wrocław
"Apartament z widokiem na Wisłe, obok Elektrowni",2500000.0,"ul. Wybrzeże Kościuszkowskie, Powiśle, Śródmieście, Warszawa, mazowieckie",78.0,2 ,1/5,do zamieszkania,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-wisle-obok-elektrowni-ID4nSAF,Mazowieckie,Warszawa
"Wyjątkowy apartament przy Nowym Świecie,ul.Okólnik",5490000.0,"ul. Okólnik, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",190.0,4 ,4/6,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-przy-nowym-swiecie-ul-okolnik-ID4nSAH,Mazowieckie,Warszawa
Mieszkanie - Gdańsk Wrzeszcz,769000.0,"ul. Joachima Lelewela, Wrzeszcz Dolny, Gdańsk, pomorskie",33.42,1 ,2/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-wrzeszcz-ID4nWjk,Pomorskie,Gdańsk
dwa pokoje z balkonem Dąbrowa Górnicza,273000.0,"Górka Gołonoska, Gołonóg Wschodni, Dąbrowa Górnicza, śląskie",39.06,2 ,1/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/dwa-pokoje-z-balkonem-dabrowa-gornicza-ID4nWji,Śląskie,Dąbrowa Górnicza
3-pokojowe mieszkanie 67m2 + 2 balkony,697104.0,"ul. Janusza Meissnera, Wola, Jeżyce, Poznań, wielkopolskie",67.68,3 ,1/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-67m2-2-balkony-ID4kSwo,Wielkopolskie,Poznań
"Trzy pokoje, cena do negocjacji.",289000.0,"ul. Ludomira Różyckiego, Mysłowice, śląskie",51.0,3 ,parter/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/trzy-pokoje-cena-do-negocjacji-ID4nWjj,Śląskie,Mysłowice
Mieszkanie na parterze w centrum bezczynszowe.,134000.0,"Tomaszów Mazowiecki, tomaszowski, łódzkie",43.79,2 ,parter,,piece kaflowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-w-centrum-bezczynszowe-ID4nWjh,Łódzkie,tomaszowski
Mieszkanie Bezczynszowe w centrum miasta.,134000.0,"Tomaszów Mazowiecki, tomaszowski, łódzkie",42.51,2 ,1,,piece kaflowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-bezczynszowe-w-centrum-miasta-ID4nWjg,Łódzkie,tomaszowski
"TORUŃ - ul. Cztery Pory Roku, 3pok.garaż - 367tys.",367000.0,"Stawki, Toruń, kujawsko-pomorskie",40.0,2 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/torun-ul-cztery-pory-roku-3pok-garaz-367tys-ID4eTkt,Kujawsko-pomorskie,Toruń
Komfortowy apartament przy plaży w Brzeźnie!,1199000.0,"ul. Starowiejska, Letnica, Gdańsk, pomorskie",90.84,3 ,2/18,,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/komfortowy-apartament-przy-plazy-w-brzeznie-ID4nWje,Pomorskie,Gdańsk
Dwupokojowe w centrum,235000.0,"Tychy, śląskie",38.1,2 ,3/4,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/dwupokojowe-w-centrum-ID4nWjc,Śląskie,Tychy
3-pokojowy apartament 88m2 + balkon Bez Prowizji,,"ul. Opacka, Oliwa, Gdańsk, pomorskie",88.77,3 ,2/3,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-88m2-balkon-bez-prowizji-ID4kUHX,Pomorskie,Gdańsk
"4-pokojowe, os.Jagiełły, 80 m, bezpośrednio",736000.0,"os. Władysława Jagiełły, Piątkowo, Stare Miasto, Poznań, wielkopolskie",80.0,4 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-os-jagielly-80-m-bezposrednio-ID4nWg0,Wielkopolskie,Poznań
"Ciepłe, 3pok, 2 komórki, miejsce postojowe",599000.0,"ul. Kwiatowa, Lubin, lubiński, dolnośląskie",63.95,3 ,3/3,do zamieszkania,gazowe,,balkon,https://www.otodom.pl/pl/oferta/cieple-3pok-2-komorki-miejsce-postojowe-ID4neEv,Dolnośląskie,lubiński
Krakowska kamienica,520000.0,"ul. Mazowiecka, Krowodrza, Krowodrza, Kraków, małopolskie",120.0,3 ,4/6,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/krakowska-kamienica-ID4nosg,Małopolskie,Kraków
3-pokojowe mieszkanie 54m2 + balkon Bezpośrednio,797306.0,"ul. Stawowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",54.61,3 ,1/2,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-balkon-bezposrednio-ID4nsun,Małopolskie,Kraków
"Nowe, przestronne mieszkanie nieopodal parku B3.10",408408.0,"Olechów, Widzew, Łódź, łódzkie",40.04,2 ,3/5,do wykończenia,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/nowe-przestronne-mieszkanie-nieopodal-parku-b3-10-ID4nWj6,Łódzkie,Łódź
"Mieszkanie, 65 m², Wrocław",710000.0,"Gaj, Krzyki, Wrocław, dolnośląskie",65.0,3 ,1/10,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-65-m-wroclaw-ID4nWj5,Dolnośląskie,Wrocław
"EXCLUSIVE 3 pokoje, Loggia, BEZPOŚREDNIO!",1267000.0,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",65.0,3 ,2/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/exclusive-3-pokoje-loggia-bezposrednio-ID4nJc7,Mazowieckie,Warszawa
"3 pokoje, Hit cenowy 8500 Pln/m2 - Krzyki !!!",799000.0,"Huby, Krzyki, Wrocław, dolnośląskie",94.0,3 ,3/4,,,,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-hit-cenowy-8500-pln-m2-krzyki-ID4nLcV,Dolnośląskie,Wrocław
3 pokojowe mieszkanie Maślice.,829000.0,"Maślice, Fabryczna, Wrocław, dolnośląskie",71.24,3 ,1/2,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-maslice-ID4mepk,Dolnośląskie,Wrocław
mieszkanie dwupoziomowe 4 pokoje os.Śląskie,729000.0,"ul. Osiedle Śląskie, Raculka, Zielona Góra, lubuskie",98.0,4 ,3/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-4-pokoje-os-slaskie-ID4nvCw,Lubuskie,Zielona Góra
Trzy pokoje na Bielanach - możliwy kredyt 2%,649900.0,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",53.5,3 ,parter/4,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-na-bielanach-mozliwy-kredyt-2-ID4nWj0,Mazowieckie,Warszawa
Piękne mieszkanie 2 pokojowe os Wandy bezpośrednio,635000.0,"Nowa Huta, Nowa Huta, Kraków, małopolskie",47.0,2 ,2/3,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-2-pokojowe-os-wandy-bezposrednio-ID4nWiY,Małopolskie,Kraków
Komfortowy apartament w inwestycji Perła,699000.0,"Wilda, Wilda, Poznań, wielkopolskie",45.72,2 ,4/6,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/komfortowy-apartament-w-inwestycji-perla-ID4mAxD,Wielkopolskie,Poznań
